
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A4:33:D7:FE:AB:8F, 2022-08-11 10:42:33, 2022-08-11 18:42:15, 48, 1733, WPA2, CCMP, PSK, -87,     6053,       10,   0.  0.  0.  0,  17, VIVOFIBRA-BULL-5G, 
74:3A:EF:70:D3:32, 2022-08-11 12:23:17, 2022-08-11 18:41:36, 161, 1733, WPA2, CCMP, PSK, -90,     1354,      128,   0.  0.  0.  0,  16, GLOW_UP_ESTETICA, 
02:53:38:FF:50:F6, 2022-08-11 18:40:22, 2022-08-11 18:41:23, 149, 433, WPA2, CCMP, PSK, -87,       30,        0,   0.  0.  0.  0,   6, Manoel, 
A6:33:D7:FE:AB:8F, 2022-08-11 10:42:33, 2022-08-11 18:42:15, 48, 1733, WPA2, CCMP, PSK, -89,     6505,        0,   0.  0.  0.  0,  14, VIVOFIBRA-BULL, 
46:EB:2E:F4:30:75, 2022-08-11 18:06:43, 2022-08-11 18:39:00, 161,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
66:E9:CF:49:23:2E, 2022-08-11 14:31:08, 2022-08-11 18:37:35, 161, 1733, WPA2, CCMP, PSK, -91,        1,        6,   0.  0.  0.  0,  14, VIVOFIBRA-2321, 
66:05:E4:5F:8D:52, 2022-08-11 18:30:23, 2022-08-11 18:30:47, 161, 866, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,  17, Uconnect-35336639, 
F4:54:20:87:32:0E, 2022-08-11 12:34:58, 2022-08-11 18:30:02, 52, 1733, WPA2, CCMP, PSK, -90,        4,        0,   0.  0.  0.  0,  17, VIVOFIBRA-3201-5G, 
5C:E3:0E:19:1F:FD, 2022-08-11 18:26:25, 2022-08-11 18:26:25, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:2F:F7:9C:57:9E, 2022-08-11 10:42:34, 2022-08-11 18:26:01, 52, 1733, WPA2, CCMP, PSK, -90,      309,       22,   0.  0.  0.  0,  14, CLARO_5G9C5798, 
BC:2E:48:D4:1D:9F, 2022-08-11 14:11:44, 2022-08-11 18:25:49, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
78:6A:1F:01:A3:D3, 2022-08-11 18:21:12, 2022-08-11 18:21:12, 48,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:9F:DB:86:81:07, 2022-08-11 13:07:25, 2022-08-11 18:20:59, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
98:7E:CA:00:3A:AF, 2022-08-11 18:11:38, 2022-08-11 18:11:38, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
98:1E:19:B9:A5:9D, 2022-08-11 10:54:36, 2022-08-11 18:06:36, 56,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
8E:DC:02:76:E3:E1, 2022-08-11 10:41:23, 2022-08-11 18:03:24, 100, 1733, WPA2, CCMP, PSK, -90,     1047,        0,   0.  0.  0.  0,   0, , 
